t,delta,EmergR
8.68,-20.3112000000002,-5.47385278102435
8.7,-20.3580000000002,-5.44040119935203
8.72,-20.4048000000002,-5.40552572607266
8.74,-20.4516000000002,-5.36926630243031
8.76,-20.4984000000003,-5.3316661202774
8.78,-20.5452000000003,-5.29276702968356
8.8,-20.5920000000003,-5.25261297031654
8.82,-20.6388000000003,-5.21124964712052
8.84,-20.6856000000003,-5.16872395440432
8.86,-20.7324000000003,-5.12508387123426
8.88,-20.7792000000003,-5.0803783552868
8.9,-20.8260000000003,-5.03465723542778
8.92,-20.8728000000003,-4.98797110328657
8.94,-20.9196000000003,-4.94037120409528
8.96,-20.9664000000003,-4.89190932706342
8.98,-21.0132000000003,-4.84263769555833
9,-21.0600000000003,-4.79260885736127
9.02,-21.1068000000003,-4.74187557526712
9.04,-21.1536000000003,-4.69049071829415
9.06,-21.2004000000003,-4.638507153767
9.08,-21.2472000000003,-4.58597764053286
9.1,-21.2940000000003,-4.53295472356694
9.12,-21.3408000000003,-4.47949063021817
9.14,-21.3876000000003,-4.42563716834126
9.16,-21.4344000000003,-4.36332993551706
9.18,-21.4812000000003,-4.30047007947987
9.2,-21.5280000000003,-4.23726607160665
9.22,-21.5748000000003,-4.17376768538638
9.24,-21.6216000000003,-4.110023842771
9.26,-21.6684000000003,-4.04608252801922
9.28,-21.7152000000003,-3.98199070493448
9.3,-21.7620000000003,-3.91779423768049
9.32,-21.8088000000003,-3.85353781534797
9.34,-21.8556000000003,-3.78926488043599
9.36,-21.9024000000003,-3.72501756140022
9.38,-21.9492000000003,-3.66083660940957
9.4,-21.9960000000003,-3.59676133944114
9.42,-22.0428000000003,-3.53282957583159
9.44,-22.0896000000003,-3.46907760239129
9.46,-22.1364000000003,-3.4055401171752
9.48,-22.1832000000003,-3.34225019199222
9.5,-22.2300000000004,-3.279239236722
9.52,-22.2768000000004,-3.21653696849565
9.54,-22.3236000000004,-3.15417138578409
9.56,-22.3704000000004,-3.09216874742478
9.58,-22.4172000000004,-3.0305535566047
9.6,-22.4640000000004,-2.96934854980474
9.62,-22.5108000000004,-2.90857469069791
9.64,-22.5576000000004,-2.8482511689805
9.66,-22.6044000000004,-2.78839540395
9.68,-22.6512000000004,-2.72902305208542
9.7,-22.6980000000004,-2.67014802108255
9.72,-22.7448000000004,-2.61178248828532
9.74,-22.7916000000004,-2.55393692343776
9.76,-22.8384000000004,-2.49662011598655
9.78,-22.8852000000004,-2.43983920682864
9.8,-22.9320000000004,-2.38359972438808
9.82,-22.9788000000004,-2.32790562489482
9.84,-23.0256000000004,-2.27275933672813
9.86,-23.0724000000004,-2.21816180867761
9.88,-23.1192000000004,-2.16411256196448
9.9,-23.1660000000004,-2.1106097458576
9.92,-23.2128000000004,-2.05765019670921
9.94,-23.2596000000004,-2.00522950022778
9.96,-23.3064000000004,-1.9533420567974
9.98,-23.3532000000004,-1.90198114964616
10,-23.4000000000004,-1.85113901565892
10.02,-23.4468000000004,-1.80080691862476
10.04,-23.4936000000004,-1.75097522470253
10.06,-23.5404000000004,-1.70163347988441
10.08,-23.5872000000004,-1.65277048923191
10.1,-23.6340000000004,-1.60437439765574
10.12,-23.6808000000004,-1.55643277200752
10.14,-23.7276000000004,-1.50893268424874
10.16,-23.7744000000004,-1.46186079546071
10.18,-23.8212000000004,-1.41520344045775
10.2,-23.8680000000004,-1.36894671276515
10.22,-23.9148000000004,-1.32307654972362
10.24,-23.9616000000004,-1.27757881748228
10.26,-24.0084000000005,-1.23243939564351
10.28,-24.0552000000005,-1.18764426132473
10.3,-24.1020000000005,-1.14317957240457
10.32,-24.1488000000005,-1.09903174972398
10.34,-24.1956000000005,-1.05518755801606
10.36,-24.2424000000005,-1.01163418534292
10.38,-24.2892000000005,-0.968359320822366
10.4,-24.3360000000005,-0.925351230432437
10.42,-24.3828000000005,-0.882598830687488
10.44,-24.4296000000005,-0.840091759986188
10.46,-24.4764000000005,-0.79782044743804
10.48,-24.5232000000005,-0.748334173287138
10.5,-24.5700000000005,-0.701248333341726
10.52,-24.6168000000005,-0.654381682129629
10.54,-24.6636000000005,-0.607726562334183
10.56,-24.7104000000005,-0.561276413824173
10.58,-24.7572000000005,-0.515025824502859
10.6,-24.8040000000005,-0.468970577504554
10.62,-24.8508000000005,-0.423107694614745
10.64,-24.8976000000005,-0.377435475800191
10.66,-24.9444000000005,-0.331953534745803
10.68,-24.9912000000005,-0.286662830306061
10.7,-25.0380000000005,-0.241565693789584
10.72,-25.0848000000005,-0.19666585200642
10.74,-25.1316000000005,-0.151968446019338
10.76,-25.1784000000005,-0.107480045551331
10.78,-25.2252000000005,-0.0632086590133412
10.8,-25.2720000000005,-0.0191637391275932
10.82,-25.3188000000005,0.0246438160684765
10.84,-25.3656000000005,0.0682016693816752
10.86,-25.4124000000005,0.111496051659814
10.88,-25.4592000000005,0.154511771415574
10.9,-25.5060000000005,0.197232231063558
10.92,-25.5528000000005,0.239639447539617
10.94,-25.5996000000005,0.281714077165653
10.96,-25.6464000000005,0.323433435334586
10.98,-25.6932000000005,0.36477449043434
11,-25.7400000000006,0.405716672302356
11.02,-25.7868000000006,0.446235514851212
11.04,-25.8336000000006,0.486305376786322
11.06,-25.8804000000006,0.525899490203537
11.08,-25.9272000000006,0.564990012755891
11.1,-25.9740000000006,0.603548083254452
11.12,-26.0208000000006,0.641543880559943
11.14,-26.0676000000006,0.678946685613249
11.16,-26.1144000000006,0.711056316375862
11.18,-26.1612000000006,0.738736661168395
11.2,-26.2080000000006,0.765632254436436
11.22,-26.2548000000006,0.791708785070449
11.24,-26.3016000000006,0.816931433920971
11.26,-26.3484000000006,0.841264951365642
11.28,-26.3952000000006,0.864673736746004
11.3,-26.4420000000006,0.887121919472815
11.32,-26.4888000000006,0.908573441594632
11.34,-26.5356000000006,0.928992141620911
11.36,-26.5824000000006,0.948341839388203
11.38,-26.6292000000006,0.966586421755308
11.4,-26.6760000000006,0.983689928911743
11.42,-26.7228000000006,0.99961664108247
11.44,-26.7696000000006,1.01433116541105
11.46,-26.8164000000006,1.02779852280343
11.48,-26.8632000000006,1.03998423451465
11.5,-26.9100000000006,1.05085440826188
11.52,-26.9568000000006,1.06037582364872
11.54,-27.0036000000006,1.06851601668737
11.56,-27.0504000000006,1.07524336320819
11.58,-27.0972000000006,1.08052716094891
11.6,-27.1440000000006,1.08433771011956
11.62,-27.1908000000006,1.086646392243
11.64,-27.2376000000006,1.08742574707574
11.66,-27.2844000000006,1.08664954741858
11.68,-27.3312000000006,1.0842928716321
11.7,-27.3780000000006,1.08033217367819
11.72,-27.4248000000006,1.07474535051492
11.74,-27.4716000000007,1.06751180667899
11.76,-27.5184000000007,1.05861251589713
11.78,-27.5652000000007,1.04803007957554
11.8,-27.6120000000007,1.03574878202409
11.82,-27.6588000000007,1.02175464228062
11.84,-27.7056000000007,1.00603546240898
11.86,-27.7524000000007,0.988580872153539
11.88,-27.7992000000007,0.969382369841855
11.9,-27.8460000000007,0.948433359436764
11.92,-27.8928000000007,0.925729183648672
11.94,-27.9396000000007,0.901267153028642
11.96,-27.9864000000007,0.875046570972933
11.98,-28.0332000000007,0.847068754579759
12,-28.0800000000007,0.817337051309211
12.02,-28.1268000000007,0.785856851407811
12.04,-28.1736000000007,0.752635596069479
12.06,-28.2204000000007,0.7176827813151
12.08,-28.2672000000007,0.681009957583572
12.1,-28.3140000000007,0.642630725037497
12.12,-28.3608000000007,0.60256072459717
12.14,-28.4076000000007,0.560817624726967
12.16,-28.4544000000007,0.517421104008387
12.18,-28.5012000000007,0.472392829544272
12.2,-28.5480000000007,0.425756431248726
12.22,-28.5948000000007,0.377537472087119
12.24,-28.6416000000007,0.327763414340149
12.26,-28.6884000000007,0.276463581975568
12.28,-28.7352000000007,0.223669119220203
12.3,-28.7820000000007,0.169412945433971
12.32,-28.8288000000007,0.11372970639614
12.34,-28.8756000000007,0.0566557221227697
12.36,-28.9224000000007,-0.0017710686583321
12.38,-28.9692000000007,-0.0615111693337043
12.4,-29.0160000000007,-0.122523594372702
12.42,-29.0628000000007,-0.184765928830638
12.44,-29.1096000000007,-0.248194393464365
12.46,-29.1564000000007,-0.312763914675912
12.48,-29.2032000000007,-0.378428196873615
12.5,-29.2500000000007,-0.445139797079349
12.52,-29.2968000000008,-0.512850201605955
12.54,-29.3436000000008,-0.581509904624565
12.56,-29.3904000000008,-0.651068488437935
12.58,-29.4372000000008,-0.721474705272356
12.6,-29.4840000000008,-0.792676560398236
12.62,-29.5308000000008,-0.864621396386906
12.64,-29.5776000000008,-0.937255978309269
12.66,-29.6244000000008,-1.01052657968097
12.68,-29.6712000000008,-1.08437906895743
12.7,-29.7180000000008,-1.1587589963821
12.72,-29.7648000000008,-1.23361168099109
12.74,-29.8116000000008,-1.30888229757842
12.76,-29.8584000000008,-1.38451596342655
12.78,-29.9052000000008,-1.46045782460913
12.8,-29.9520000000008,-1.53665314167442
12.82,-29.9988000000008,-1.61304737452067
12.84,-30.0456000000008,-1.68958626627753
12.86,-30.0924000000008,-1.76621592601115
12.88,-30.1392000000008,-1.84288291007423
12.9,-30.1860000000008,-1.91953422139566
12.92,-30.2328000000008,-1.99611730289453
12.94,-30.2796000000008,-2.07258053487803
12.96,-30.3264000000008,-2.14887305717636
12.98,-30.3732000000008,-2.22494495227062
13,-30.4200000000008,-2.30074725109404
13.02,-30.4668000000008,-2.37623177134234
13.04,-30.5136000000008,-2.45135136018876
13.06,-30.5604000000008,-2.52605995623382
13.08,-30.6072000000008,-2.60031264861183
13.1,-30.6540000000008,-2.67406573314213
13.12,-30.7008000000008,-2.74727676542156
13.14,-30.7476000000008,-2.81990461076226
