Time,AngleX
98.3,25.3607653
98.4,25.83808486
98.5,26.30506954
98.6,26.76153253
98.7,27.20729127
98.8,27.64216746
98.9,28.06598715
99,28.47858081
99.1,28.87978343
99.2,29.26943451
99.3,29.64737822
99.4,30.01346336
99.5,30.36754352
99.6,30.70947707
99.7,31.03912724
99.8,31.35636217
99.9,31.66105497
100,31.95308378
100.1,32.23233177
100.2,32.49868726
100.3,32.75204372
100.4,32.99229979
100.5,33.21935938
100.6,33.43313167
100.7,33.63353115
100.8,33.82047767
100.9,33.99389645
101,34.15371812
101.1,34.29987876
101.2,34.43231991
101.3,34.55098859
101.4,34.65583733
101.5,34.7468242
101.6,34.82391281
101.7,34.88707231
101.8,34.93627745
101.9,34.97150855
102,34.9927515
102.1,34.99999783
102.2,34.99324462
102.3,34.97249458
102.4,34.93775601
102.5,34.8890428
102.6,34.82637444
102.7,34.74977599
102.8,34.6592781
102.9,34.55491696
103,34.43673431
103.1,34.30477743
103.2,34.15909909
103.3,33.99975757
103.4,33.8268166
103.5,33.64034536
103.6,33.44041842
103.7,33.22711577
103.8,33.00052271
103.9,32.76072988
104,32.50783319
104.1,32.24193381
104.2,31.96313808
104.3,31.67155752
104.4,31.36730877
104.5,31.0505135
104.6,30.72129845
104.7,30.37979529
104.8,30.02614061
104.9,29.66047588
105,29.28294735
105.1,28.89370603
105.2,28.49290762
105.3,28.08071242
105.4,27.65728532
105.5,27.22279566
105.6,26.77741726
105.7,26.32132824
105.8,25.85471104
105.9,25.3777523
106,24.8906428
106.1,24.39357738
106.2,23.88675485
106.3,23.37037793
106.4,22.84465318
106.5,22.30979087
106.6,21.76600494
106.7,21.21351289
106.8,20.65253573
106.9,20.08329783
107,19.50602687
107.1,18.92095377
107.2,18.32831253
107.3,17.72834022
107.4,17.12127681
107.5,16.50736511
107.6,15.88685069
107.7,15.25998173
107.8,14.62700899
107.9,13.98818564
108,13.34376721
108.1,12.69401144
108.2,12.03917824
108.3,11.37952953
108.4,10.71532916
108.5,10.0468428
108.6,9.374337833
108.7,8.698083258
108.8,8.018349567
108.9,7.335408643
109,6.649533653
109.1,5.960998938
109.2,5.270079903
109.3,4.577052907
109.4,3.88219515
109.5,3.185784567
109.6,2.488099713
109.7,1.789419652
109.8,1.090023847
109.9,0.390192047
110,-0.309795825
110.1,-1.009659783
110.2,-1.70911989
110.3,-2.407896372
110.4,-3.105709727
110.5,-3.80228084
110.6,-4.497331091
110.7,-5.19058247
110.8,-5.881757685
110.9,-6.570580275
111,-7.256774721
111.1,-7.940066554
111.2,-8.620182466
111.3,-9.29685042
111.4,-9.969799758
111.5,-10.63876131
111.6,-11.3034675
111.7,-11.96365245
111.8,-12.6190521
111.9,-13.2694043
112,-13.91444891
112.1,-14.55392793
112.2,-15.18758557
112.3,-15.81516838
112.4,-16.43642533
112.5,-17.05110794
112.6,-17.65897032
112.7,-18.25976936
112.8,-18.85326473
112.9,-19.43921904
113,-20.01739793
113.1,-20.58757012
113.2,-21.14950756
113.3,-21.70298548
113.4,-22.2477825
113.5,-22.7836807
113.6,-23.31046573
113.7,-23.82792688
113.8,-24.33585719
113.9,-24.83405347
114,-25.32231646
114.1,-25.80045087
114.2,-26.26826543
114.3,-26.72557305
114.4,-27.17219078
114.5,-27.60794001
114.6,-28.03264643
114.7,-28.44614016
114.8,-28.84825581
114.9,-29.23883255
115,-29.61771415
115.1,-29.98474905
115.2,-30.33979045
115.3,-30.68269635
115.4,-31.01332957
115.5,-31.33155787
115.6,-31.63725397
115.7,-31.93029559
115.8,-32.21056552
115.9,-32.47795165
116,-32.73234703
116.1,-32.97364991
116.2,-33.20176377
116.3,-33.41659737
116.4,-33.61806477
116.5,-33.8060854
116.6,-33.98058404
116.7,-34.1414909
116.8,-34.28874162
116.9,-34.4222773
117,-34.54204453
117.1,-34.64799541
117.2,-34.74008754
117.3,-34.81828411
117.4,-34.88255382
117.5,-34.93287098
117.6,-34.96921545
117.7,-34.99157271
117.8,-34.9999338
117.9,-34.99429539
118,-34.97465972
118.1,-34.94103466
118.2,-34.89343365
118.3,-34.83187573
118.4,-34.75638553
118.5,-34.66699323
118.6,-34.5637346
118.7,-34.44665094
118.8,-34.31578907
118.9,-34.17120135
119,-34.0129456
119.1,-33.84108513
119.2,-33.65568867
119.3,-33.45683039
119.4,-33.24458982
119.5,-33.01905186
119.6,-32.78030672
119.7,-32.52844989
119.8,-32.26358212
119.9,-31.98580934
120,-31.69524267
120.1,-31.39199832
120.2,-31.07619759
120.3,-30.7479668
120.4,-30.40743723
120.5,-30.05474509
120.6,-29.69003145
120.7,-29.3134422
120.8,-28.92512796
120.9,-28.52524406
121,-28.11395043
121.1,-27.69141161
121.2,-27.25779658
121.3,-26.81327881
121.4,-26.35803607
121.5,-25.89225048
121.6,-25.41610833
121.7,-24.92980007
121.8,-24.43352023
121.9,-23.92746731
122,-23.41184371
122.1,-22.8868557
122.2,-22.35271324
122.3,-21.80963
122.4,-21.25782319
122.5,-20.69751355
122.6,-20.12892517
122.7,-19.55228549
122.8,-18.96782515
122.9,-18.37577794
123,-17.77638066
123.1,-17.16987307
123.2,-16.55649776
123.3,-15.93650007
123.4,-15.31012799
123.5,-14.67763206
123.6,-14.03926528
123.7,-13.39528298
123.8,-12.74594274
123.9,-12.0915043
124,-11.43222941
124.1,-10.76838179
124.2,-10.10022696
124.3,-9.428032169
124.4,-8.752066293
124.5,-8.072599707
124.6,-7.38990419
124.7,-6.704252808
124.8,-6.015919816
124.9,-5.325180535
125,-4.632311253
125.1,-3.937589109
125.2,-3.241291981
125.3,-2.54369838
125.4,-1.845087334
125.5,-1.145738277
125.6,-0.44593094
125.7,0.254054764
125.8,0.953938849
125.9,1.653441371
126,2.352282538
126.1,3.050182824
126.2,3.746863078
126.3,4.442044636
126.4,5.135449436
126.5,5.826800124
126.6,6.51582017
126.7,7.202233974
126.8,7.885766982
126.9,8.566145787
127,9.243098248
127.1,9.916353594
127.2,10.58564253
127.3,11.25069735
127.4,11.91125204
127.5,12.56704239
127.6,13.21780609
127.7,13.86328284
127.8,14.50321447
127.9,15.137345
128,15.7654208
128.1,16.38719064
128.2,17.00240582
128.3,17.61082026
128.4,18.21219062
128.5,18.80627634
128.6,19.39283979
128.7,19.97164638
128.8,20.54246456
128.9,21.10506604
129,21.65922577
129.1,22.2047221
129.2,22.74133684
129.3,23.26885535
129.4,23.78706662
129.5,24.29576339
129.6,24.79474217
129.7,25.28380339
129.8,25.76275142
129.9,26.2313947
130,26.68954577
130.1,27.13702137
130.2,27.57364253
130.3,27.9992346
130.4,28.41362735
130.5,28.81665503
130.6,29.20815642
130.7,29.58797495
130.8,29.95595868
130.9,30.31196043
131,30.65583779
131.1,30.98745323
131.2,31.3066741
131.3,31.61337272
131.4,31.90742642
131.5,32.18871756
131.6,32.45713365
131.7,32.71256732
131.8,32.9549164
131.9,33.18408395
132,33.39997831
132.1,33.60251312
132.2,33.79160738
132.3,33.96718544
132.4,34.12917708
132.5,34.27751751
132.6,34.41214739
132.7,34.53301286
132.8,34.64006559
132.9,34.73326276
133,34.81256709
133.1,34.87794685
133.2,34.9293759
133.3,34.96683366
133.4,34.99030516
133.5,34.999781
133.6,34.9952574
133.7,34.97673616
133.8,34.94422469
133.9,34.89773599
134,34.83728867
134.1,34.7629069
134.2,34.67462043
134.3,34.57246457
134.4,34.45648019
134.5,34.32671367
134.6,34.18321693
134.7,34.02604735
134.8,33.85526781
134.9,33.67094662
135,33.47315749
135.1,33.26197955
135.2,33.03749726
135.3,32.79980041
135.4,32.54898408
135.5,32.28514859
135.6,32.00839947
135.7,31.71884742
135.8,31.41660825
135.9,31.10180286
136,30.77455716
