Omega,Zeta_a,Wavenum,Phase,Psi
3.641182715,0.005735676,1.35149965,2.571546452,2.030584604
3.501197927,0.010692407,1.249580726,2.912417137,2.096041809
3.643701352,0.016519394,1.353369984,3.838671536,2.29249759
3.615850471,0.022646251,1.332759901,0.447164659,2.452874963
3.532672221,0.028473238,1.272148116,1.974681295,2.513804121
3.595669611,0.033429969,1.317924562,3.822587243,2.824607929
3.539900558,0.037031245,1.277359425,1.099684236,2.968728574
3.599017958,0.038924548,1.320380251,3.902030446,3.093331091
3.511086561,0.038924548,1.256649219,1.545411842,-3.072532016
3.606115203,0.037031245,1.325592952,3.690480508,-2.874396599
3.57533055,0.033429969,1.303056936,3.179627626,-2.731659582
3.534102384,0.028473238,1.273178355,2.920292105,-2.623247826
3.51210504,0.022646251,1.25737837,3.401835468,-2.378808115
3.514056787,0.016519394,1.258776259,5.920812456,-2.338590235
3.556289608,0.010692407,1.289214656,2.147335693,-2.153316655
3.670113542,0.005735676,1.37306151,2.524611142,-2.026728329
3.676691447,0.0021344,1.377987767,1.933260315,-1.822524611
3.600285914,0.000241097,1.321310771,2.585957755,-1.67551933
3.857611101,0.000213767,1.516938166,1.796609184,1.719116369
3.804299938,0.001892453,1.475300511,2.476376816,1.859595942
3.723534251,0.005085502,1.413323886,3.160533225,1.925549274
3.825528806,0.009480358,1.491811483,4.536333163,2.048773647
3.847914541,0.01464682,1.509321744,1.923965034,2.200039238
3.703274142,0.02007916,1.397985665,0.704745387,2.446423854
3.803450264,0.025245623,1.474641581,2.785272963,2.630125968
3.733512679,0.029640478,1.420908963,2.93275561,2.797090439
3.796340205,0.032833528,1.46913343,0.092167262,2.927582751
3.763405181,0.034512213,1.443753166,4.172360928,3.023982627
3.845810203,0.034512213,1.507671368,4.54941389,-3.11892285
3.72354521,0.032833528,1.413332205,1.769556116,-2.882167608
3.798662414,0.029640478,1.470931309,1.645055271,-2.678822401
3.739803413,0.025245623,1.425701281,4.451457122,-2.542194557
3.765737891,0.02007916,1.445543513,4.925131495,-2.367151256
3.764305376,0.01464682,1.444443931,6.196212241,-2.307509015
3.80687946,0.009480358,1.477301857,2.974099932,-2.156889164
3.723227004,0.005085502,1.413090655,5.672578035,-1.957769693
3.808903303,0.001892453,1.478873024,2.834085781,-1.859307897
3.835471143,0.000213767,1.49957583,5.054928191,-1.694734038
