t,rpm,PE,uF,EmergP
6.58,125.939994934149,6929.9950103331,0.950641195466067,-3.65840132511693
6.6,125.939555486645,6929.94664819523,0.950637878355397,-3.66126470012252
6.62,125.939116029402,6929.89828515438,0.950634561171219,-3.66480222832434
6.64,125.938676559215,6929.84992085775,0.950631243889331,-3.66905118782129
6.66,125.938237072937,6929.80155495915,0.95062792648599,-3.6740472291585
6.68,125.937797567482,6929.75318711877,0.950624608937885,-3.67982427837539
6.7,125.937358039816,6929.70481700297,0.950621291222129,-3.68641444373013
6.72,125.936918486962,6929.65644428398,0.950617973316241,-3.69384792633558
6.74,125.936478905993,6929.60806863976,0.950614655198128,-3.70215293493213
6.76,125.936039294031,6929.5596897537,0.950611336846072,-3.711355605013
6.78,125.935599648247,6929.51130731448,0.950608018238717,-3.72147992250712
6.8,125.935159965858,6929.46292101585,0.950604699355054,-3.73254765221379
6.82,125.934720244125,6929.41453055643,0.950601380174408,-3.74457827117153
6.84,125.934280480352,6929.36613563954,0.950598060676424,-3.75758890713196
6.86,125.933840671883,6929.317735973,0.950594740841061,-3.77159428229687
6.88,125.933400816102,6929.26933126901,0.950591420648572,-3.78660666246409
6.9,125.932960910432,6929.22092124392,0.950588100079497,-3.80263581171436
6.92,125.93252095233,6929.17250561812,0.950584779114655,-3.81968895275833
6.94,125.932080939292,6929.12408411589,0.950581457735126,-3.83777073304853
6.96,125.931640868844,6929.07565646521,0.95057813592225,-3.85688319674772
6.98,125.931200738546,6929.02722239768,0.95057481365761,-3.87702576263005
7,125.930760545992,6928.97878164833,0.950571490923026,-3.89819520797787
7.02,125.930320288801,6928.93033395553,0.950568167700548,-3.92038565852151
7.04,125.929879964625,6928.88187906083,0.950564843972442,-3.94358858445547
7.06,125.929439571143,6928.8334167089,0.950561519721187,-3.96779280254892
7.08,125.928999106061,6928.78494664734,0.950558194929467,-3.99298448435422
7.1,125.92855856711,6928.73646862661,0.950554869580157,-4.01914717050173
7.12,125.928117952046,6928.68798239992,0.950551543656323,-4.04626179105483
7.14,125.927677258651,6928.63948772312,0.950548217141212,-4.07430669188407
7.16,125.927236484727,6928.59098435463,0.950544890018245,-4.10325766700469
7.18,125.926795628101,6928.54247205528,0.950541562271011,-4.13308799680747
7.2,125.92635468662,6928.49395058827,0.95053823388326,-4.1637684920983
